series,timestamp,value
"consumer-controlplane",1785753364,"142"
"consumer-controlplane",1785753369,"142"
"consumer-controlplane",1785753374,"142"
"consumer-controlplane",1785753379,"141"
"consumer-controlplane",1785753384,"141"
"consumer-controlplane",1785753389,"141"
"consumer-controlplane",1785753394,"140"
"consumer-controlplane",1785753399,"139"
"consumer-controlplane",1785753404,"139"
"consumer-controlplane",1785753409,"139"
"consumer-controlplane",1785753414,"139"
"consumer-controlplane",1785753419,"139"
"consumer-controlplane",1785753424,"139"
"consumer-controlplane",1785753429,"139"
"consumer-controlplane",1785753434,"139"
"consumer-controlplane",1785753439,"138"
"consumer-controlplane",1785753444,"138"
"consumer-controlplane",1785753449,"138"
"consumer-controlplane",1785753454,"138"
"consumer-controlplane",1785753459,"138"
"consumer-controlplane",1785753464,"138"
"consumer-controlplane",1785753469,"138"
"consumer-controlplane",1785753474,"138"
"consumer-controlplane",1785753479,"138"
"consumer-controlplane",1785753484,"138"
"consumer-controlplane",1785753489,"138"
"consumer-controlplane",1785753494,"138"
"consumer-controlplane",1785753499,"137"
"consumer-controlplane",1785753504,"137"
"consumer-controlplane",1785753509,"138"
"consumer-controlplane",1785753514,"138"
"consumer-controlplane",1785753519,"138"
"consumer-controlplane",1785753524,"138"
"consumer-controlplane",1785753529,"138"
"consumer-controlplane",1785753534,"138"
"consumer-controlplane",1785753539,"138"
"consumer-controlplane",1785753544,"138"
"consumer-controlplane",1785753549,"139"
"consumer-controlplane",1785753554,"139"
"consumer-controlplane",1785753559,"138"
"consumer-controlplane",1785753564,"138"
"consumer-controlplane",1785753569,"139"
"consumer-controlplane",1785753574,"140"
"consumer-controlplane",1785753579,"140"
"consumer-controlplane",1785753584,"140"
"consumer-controlplane",1785753589,"140"
"consumer-controlplane",1785753594,"140"
"consumer-controlplane",1785753599,"140"
"consumer-controlplane",1785753604,"140"
"consumer-controlplane",1785753609,"140"
"consumer-controlplane",1785753614,"140"
"consumer-controlplane",1785753619,"139"
"consumer-controlplane",1785753624,"140"
"consumer-controlplane",1785753629,"140"
"consumer-controlplane",1785753634,"142"
"consumer-controlplane",1785753639,"142"
"consumer-controlplane",1785753644,"142"
"consumer-controlplane",1785753649,"142"
"consumer-controlplane",1785753654,"142"
"consumer-controlplane",1785753659,"144"
"consumer-controlplane",1785753664,"144"
"consumer-controlplane",1785753669,"144"
"consumer-controlplane",1785753674,"144"
"consumer-controlplane",1785753679,"143"
"consumer-controlplane",1785753684,"143"
"consumer-controlplane",1785753689,"143"
"consumer-controlplane",1785753694,"143"
"consumer-controlplane",1785753699,"143"
"consumer-controlplane",1785753704,"143"
"consumer-controlplane",1785753709,"143"
"consumer-controlplane",1785753714,"143"
"consumer-controlplane",1785753719,"143"
"consumer-controlplane",1785753724,"142"
"consumer-controlplane",1785753729,"142"
"consumer-controlplane",1785753734,"142"
"consumer-controlplane",1785753739,"141"
"consumer-controlplane",1785753744,"141"
"consumer-controlplane",1785753749,"141"
"consumer-controlplane",1785753754,"146"
"consumer-controlplane",1785753759,"146"
"consumer-controlplane",1785753764,"146"
"consumer-controlplane",1785753769,"146"
"consumer-controlplane",1785753774,"146"
"consumer-controlplane",1785753779,"159"
"consumer-controlplane",1785753784,"173"
"consumer-controlplane",1785753789,"174"
"consumer-controlplane",1785753794,"174"
"consumer-controlplane",1785753799,"174"
"consumer-controlplane",1785753804,"188"
"consumer-controlplane",1785753809,"192"
"consumer-controlplane",1785753814,"192"
"consumer-controlplane",1785753819,"192"
"consumer-controlplane",1785753824,"195"
"consumer-controlplane",1785753829,"197"
"consumer-controlplane",1785753834,"197"
"consumer-controlplane",1785753839,"195"
"consumer-controlplane",1785753844,"196"
"consumer-controlplane",1785753849,"196"
"consumer-controlplane",1785753854,"196"
"consumer-controlplane",1785753859,"226"
"consumer-controlplane",1785753864,"226"
"consumer-controlplane",1785753869,"226"
"consumer-controlplane",1785753874,"226"
"consumer-controlplane",1785753879,"226"
"consumer-controlplane",1785753884,"226"
"consumer-controlplane",1785753889,"235"
"consumer-controlplane",1785753894,"236"
"consumer-controlplane",1785753899,"236"
"consumer-controlplane",1785753904,"236"
"consumer-controlplane",1785753909,"241"
"consumer-controlplane",1785753914,"242"
"consumer-controlplane",1785753919,"242"
"consumer-controlplane",1785753924,"247"
"consumer-controlplane",1785753929,"247"
"consumer-controlplane",1785753934,"247"
"consumer-controlplane",1785753939,"247"
"consumer-controlplane",1785753944,"249"
"consumer-controlplane",1785753949,"249"
"consumer-controlplane",1785753954,"249"
"consumer-controlplane",1785753959,"249"
"consumer-controlplane",1785753964,"249"
"consumer-controlplane",1785753969,"249"
"consumer-controlplane",1785753974,"250"
"consumer-controlplane",1785753979,"250"
"consumer-controlplane",1785753984,"249"
"consumer-controlplane",1785753989,"249"
"consumer-controlplane",1785753994,"249"
"consumer-controlplane",1785753999,"263"
"consumer-controlplane",1785754004,"263"
"consumer-controlplane",1785754009,"262"
"consumer-controlplane",1785754014,"261"
"consumer-controlplane",1785754019,"261"
"consumer-controlplane",1785754024,"261"
"consumer-controlplane",1785754029,"261"
"consumer-controlplane",1785754034,"261"
"consumer-controlplane",1785754039,"261"
"dsp-native-basyx",1785753364,"66"
"dsp-native-basyx",1785753369,"66"
"dsp-native-basyx",1785753374,"71"
"dsp-native-basyx",1785753379,"71"
"dsp-native-basyx",1785753384,"71"
"dsp-native-basyx",1785753389,"71"
"dsp-native-basyx",1785753394,"71"
"dsp-native-basyx",1785753399,"70"
"dsp-native-basyx",1785753404,"69"
"dsp-native-basyx",1785753409,"69"
"dsp-native-basyx",1785753414,"69"
"dsp-native-basyx",1785753419,"69"
"dsp-native-basyx",1785753424,"69"
"dsp-native-basyx",1785753429,"69"
"dsp-native-basyx",1785753434,"69"
"dsp-native-basyx",1785753439,"69"
"dsp-native-basyx",1785753444,"69"
"dsp-native-basyx",1785753449,"69"
"dsp-native-basyx",1785753454,"69"
"dsp-native-basyx",1785753459,"69"
"dsp-native-basyx",1785753464,"69"
"dsp-native-basyx",1785753469,"69"
"dsp-native-basyx",1785753474,"69"
"dsp-native-basyx",1785753479,"69"
"dsp-native-basyx",1785753484,"69"
"dsp-native-basyx",1785753489,"69"
"dsp-native-basyx",1785753494,"69"
"dsp-native-basyx",1785753499,"69"
"dsp-native-basyx",1785753504,"69"
"dsp-native-basyx",1785753509,"70"
"dsp-native-basyx",1785753514,"70"
"dsp-native-basyx",1785753519,"70"
"dsp-native-basyx",1785753524,"70"
"dsp-native-basyx",1785753529,"70"
"dsp-native-basyx",1785753534,"70"
"dsp-native-basyx",1785753539,"70"
"dsp-native-basyx",1785753544,"70"
"dsp-native-basyx",1785753549,"70"
"dsp-native-basyx",1785753554,"70"
"dsp-native-basyx",1785753559,"70"
"dsp-native-basyx",1785753564,"70"
"dsp-native-basyx",1785753569,"71"
"dsp-native-basyx",1785753574,"71"
"dsp-native-basyx",1785753579,"71"
"dsp-native-basyx",1785753584,"71"
"dsp-native-basyx",1785753589,"72"
"dsp-native-basyx",1785753594,"72"
"dsp-native-basyx",1785753599,"72"
"dsp-native-basyx",1785753604,"72"
"dsp-native-basyx",1785753609,"72"
"dsp-native-basyx",1785753614,"72"
"dsp-native-basyx",1785753619,"73"
"dsp-native-basyx",1785753624,"73"
"dsp-native-basyx",1785753629,"73"
"dsp-native-basyx",1785753634,"73"
"dsp-native-basyx",1785753639,"73"
"dsp-native-basyx",1785753644,"73"
"dsp-native-basyx",1785753649,"75"
"dsp-native-basyx",1785753654,"75"
"dsp-native-basyx",1785753659,"75"
"dsp-native-basyx",1785753664,"75"
"dsp-native-basyx",1785753669,"75"
"dsp-native-basyx",1785753674,"75"
"dsp-native-basyx",1785753679,"75"
"dsp-native-basyx",1785753684,"75"
"dsp-native-basyx",1785753689,"75"
"dsp-native-basyx",1785753694,"75"
"dsp-native-basyx",1785753699,"76"
"dsp-native-basyx",1785753704,"76"
"dsp-native-basyx",1785753709,"76"
"dsp-native-basyx",1785753714,"76"
"dsp-native-basyx",1785753719,"76"
"dsp-native-basyx",1785753724,"76"
"dsp-native-basyx",1785753729,"76"
"dsp-native-basyx",1785753734,"76"
"dsp-native-basyx",1785753739,"76"
"dsp-native-basyx",1785753744,"76"
"dsp-native-basyx",1785753749,"76"
"dsp-native-basyx",1785753754,"78"
"dsp-native-basyx",1785753759,"78"
"dsp-native-basyx",1785753764,"78"
"dsp-native-basyx",1785753769,"78"
"dsp-native-basyx",1785753774,"78"
"dsp-native-basyx",1785753779,"78"
"dsp-native-basyx",1785753784,"78"
"dsp-native-basyx",1785753789,"78"
"dsp-native-basyx",1785753794,"78"
"dsp-native-basyx",1785753799,"78"
"dsp-native-basyx",1785753804,"78"
"dsp-native-basyx",1785753809,"78"
"dsp-native-basyx",1785753814,"76"
"dsp-native-basyx",1785753819,"76"
"dsp-native-basyx",1785753824,"76"
"dsp-native-basyx",1785753829,"76"
"dsp-native-basyx",1785753834,"75"
"dsp-native-basyx",1785753839,"75"
"dsp-native-basyx",1785753844,"75"
"dsp-native-basyx",1785753849,"75"
"dsp-native-basyx",1785753854,"75"
"dsp-native-basyx",1785753859,"75"
"dsp-native-basyx",1785753864,"75"
"dsp-native-basyx",1785753869,"75"
"dsp-native-basyx",1785753874,"75"
"dsp-native-basyx",1785753879,"75"
"dsp-native-basyx",1785753884,"75"
"dsp-native-basyx",1785753889,"75"
"dsp-native-basyx",1785753894,"78"
"dsp-native-basyx",1785753899,"78"
"dsp-native-basyx",1785753904,"78"
"dsp-native-basyx",1785753909,"78"
"dsp-native-basyx",1785753914,"78"
"dsp-native-basyx",1785753919,"78"
"dsp-native-basyx",1785753924,"78"
"dsp-native-basyx",1785753929,"79"
"dsp-native-basyx",1785753934,"79"
"dsp-native-basyx",1785753939,"79"
"dsp-native-basyx",1785753944,"79"
