series,timestamp,value
"consumer-controlplane",1785701617,"128043456"
"consumer-controlplane",1785701622,"152872704"
"consumer-controlplane",1785701627,"163007024"
"consumer-controlplane",1785701632,"178476096"
"consumer-controlplane",1785701637,"186298032"
"consumer-controlplane",1785701642,"193342536"
"consumer-controlplane",1785701647,"56727760"
"consumer-controlplane",1785701652,"63997760"
"consumer-controlplane",1785701657,"71128944"
"consumer-controlplane",1785701662,"86258728"
"consumer-controlplane",1785701667,"93317176"
"consumer-controlplane",1785701672,"100116528"
"consumer-controlplane",1785701677,"107205040"
"consumer-controlplane",1785701682,"114397168"
"consumer-controlplane",1785701687,"121272272"
"consumer-controlplane",1785701692,"145108752"
"consumer-controlplane",1785701697,"170568528"
"dsp-native-basyx",1785701617,"190775872"
"dsp-native-basyx",1785701622,"190991168"
"dsp-native-basyx",1785701627,"191178872"
"dsp-native-basyx",1785701632,"64331608"
"dsp-native-basyx",1785701637,"64535728"
"dsp-native-basyx",1785701642,"64744400"
"dsp-native-basyx",1785701647,"64926576"
"dsp-native-basyx",1785701652,"65367400"
"dsp-native-basyx",1785701657,"65604472"
"dsp-native-basyx",1785701662,"80683448"
"dsp-native-basyx",1785701667,"81329944"
"dsp-native-basyx",1785701672,"81540760"
"dsp-native-basyx",1785701677,"81708040"
"dsp-native-basyx",1785701682,"81915880"
"dsp-native-basyx",1785701687,"82098320"
"dsp-native-basyx",1785701692,"113451192"
"dsp-native-basyx",1785701697,"140947848"
