series,timestamp,value
"consumer-controlplane",1786628021,"131"
"consumer-controlplane",1786628026,"130"
"consumer-controlplane",1786628031,"130"
"consumer-controlplane",1786628036,"130"
"consumer-controlplane",1786628041,"130"
"consumer-controlplane",1786628046,"130"
"consumer-controlplane",1786628051,"130"
"consumer-controlplane",1786628056,"129"
"consumer-controlplane",1786628061,"129"
"consumer-controlplane",1786628066,"128"
"consumer-controlplane",1786628071,"129"
"consumer-controlplane",1786628076,"129"
"consumer-controlplane",1786628081,"129"
"consumer-controlplane",1786628086,"129"
"consumer-controlplane",1786628091,"129"
"consumer-controlplane",1786628096,"129"
"consumer-controlplane",1786628101,"129"
"consumer-controlplane",1786628106,"129"
"consumer-controlplane",1786628111,"129"
"consumer-controlplane",1786628116,"129"
"consumer-controlplane",1786628121,"129"
"consumer-controlplane",1786628126,"129"
"consumer-controlplane",1786628131,"128"
"consumer-controlplane",1786628136,"128"
"consumer-controlplane",1786628141,"128"
"consumer-controlplane",1786628146,"128"
"consumer-controlplane",1786628151,"128"
"consumer-controlplane",1786628156,"128"
"consumer-controlplane",1786628161,"128"
"consumer-controlplane",1786628166,"128"
"consumer-controlplane",1786628171,"128"
"consumer-controlplane",1786628176,"128"
"consumer-controlplane",1786628181,"128"
"consumer-controlplane",1786628186,"128"
"consumer-controlplane",1786628191,"127"
"consumer-controlplane",1786628196,"127"
"consumer-controlplane",1786628201,"127"
"consumer-controlplane",1786628206,"127"
"consumer-controlplane",1786628211,"127"
"consumer-controlplane",1786628216,"127"
"consumer-controlplane",1786628221,"127"
"consumer-controlplane",1786628226,"127"
"consumer-controlplane",1786628231,"127"
"consumer-controlplane",1786628236,"127"
"consumer-controlplane",1786628241,"127"
"consumer-controlplane",1786628246,"127"
"consumer-controlplane",1786628251,"126"
"consumer-controlplane",1786628256,"126"
"consumer-controlplane",1786628261,"126"
"consumer-controlplane",1786628266,"126"
"consumer-controlplane",1786628271,"126"
"consumer-controlplane",1786628276,"126"
"consumer-controlplane",1786628281,"126"
"consumer-controlplane",1786628286,"126"
"consumer-controlplane",1786628291,"126"
"consumer-controlplane",1786628296,"126"
"consumer-controlplane",1786628301,"126"
"consumer-controlplane",1786628306,"126"
"consumer-controlplane",1786628311,"125"
"consumer-controlplane",1786628316,"125"
"consumer-controlplane",1786628321,"125"
"consumer-controlplane",1786628326,"125"
"consumer-controlplane",1786628331,"125"
"consumer-controlplane",1786628336,"125"
"consumer-controlplane",1786628341,"126"
"consumer-controlplane",1786628346,"126"
"consumer-controlplane",1786628351,"126"
"consumer-controlplane",1786628356,"126"
"consumer-controlplane",1786628361,"126"
"consumer-controlplane",1786628366,"126"
"consumer-controlplane",1786628371,"125"
"consumer-controlplane",1786628376,"126"
"consumer-controlplane",1786628381,"126"
"consumer-controlplane",1786628386,"126"
"consumer-controlplane",1786628391,"126"
"consumer-controlplane",1786628396,"126"
"consumer-controlplane",1786628401,"125"
"consumer-controlplane",1786628406,"125"
"consumer-controlplane",1786628411,"125"
"consumer-controlplane",1786628416,"125"
"consumer-controlplane",1786628421,"125"
"consumer-controlplane",1786628426,"125"
"consumer-controlplane",1786628431,"124"
"consumer-controlplane",1786628436,"123"
"consumer-controlplane",1786628441,"123"
"consumer-controlplane",1786628446,"123"
"consumer-controlplane",1786628451,"123"
"consumer-controlplane",1786628456,"123"
"consumer-controlplane",1786628461,"123"
"consumer-controlplane",1786628466,"123"
"consumer-controlplane",1786628471,"123"
"consumer-controlplane",1786628476,"123"
"consumer-controlplane",1786628481,"123"
"consumer-controlplane",1786628486,"123"
"consumer-controlplane",1786628491,"122"
"consumer-controlplane",1786628496,"122"
"consumer-controlplane",1786628501,"122"
"consumer-controlplane",1786628506,"122"
"consumer-controlplane",1786628511,"122"
"consumer-controlplane",1786628516,"122"
"consumer-controlplane",1786628521,"122"
"consumer-controlplane",1786628526,"122"
