series,timestamp,value
"consumer-controlplane",1786470034,"92746360"
"consumer-controlplane",1786470039,"96276512"
"consumer-controlplane",1786470044,"153501752"
"consumer-controlplane",1786470049,"79589760"
"consumer-controlplane",1786470054,"150542976"
"consumer-controlplane",1786470059,"81877488"
"consumer-controlplane",1786470064,"153701624"
"consumer-controlplane",1786470069,"81925536"
"consumer-controlplane",1786470074,"157024888"
"consumer-controlplane",1786470079,"85964992"
"consumer-controlplane",1786470084,"155322472"
"consumer-controlplane",1786470089,"88590344"
"consumer-controlplane",1786470094,"160193296"
"consumer-controlplane",1786470099,"87339824"
"consumer-controlplane",1786470104,"162755128"
"consumer-controlplane",1786470109,"91569776"
"consumer-controlplane",1786470114,"164409112"
"consumer-controlplane",1786470119,"94229696"
"consumer-controlplane",1786470124,"161847312"
"consumer-controlplane",1786470129,"98350784"
"consumer-controlplane",1786470134,"170217952"
"consumer-controlplane",1786470139,"91918904"
"consumer-controlplane",1786470144,"169220136"
"consumer-controlplane",1786470149,"102090024"
"consumer-controlplane",1786470154,"172109880"
"consumer-controlplane",1786470159,"115802408"
"consumer-controlplane",1786470164,"187477808"
"consumer-controlplane",1786470169,"121145096"
"consumer-controlplane",1786470174,"205134552"
"consumer-controlplane",1786470179,"135369032"
"consumer-controlplane",1786470184,"69508952"
"consumer-controlplane",1786470189,"69508952"
"consumer-controlplane",1786470194,"147173144"
"consumer-controlplane",1786470199,"73346960"
"consumer-controlplane",1786470204,"151762008"
"consumer-controlplane",1786470209,"83070200"
"consumer-controlplane",1786470214,"154427616"
"consumer-controlplane",1786470219,"93280760"
"consumer-controlplane",1786470224,"152894560"
"consumer-controlplane",1786470229,"98384440"
"consumer-controlplane",1786470234,"178527680"
"consumer-controlplane",1786470239,"122161824"
"consumer-controlplane",1786470244,"199576840"
"consumer-controlplane",1786470249,"139843768"
"consumer-controlplane",1786470254,"76761480"
"consumer-controlplane",1786470259,"150963104"
"consumer-controlplane",1786470264,"80155360"
"consumer-controlplane",1786470269,"155317096"
"consumer-controlplane",1786470274,"91025000"
"consumer-controlplane",1786470279,"156989904"
"consumer-controlplane",1786470284,"98373608"
"consumer-controlplane",1786470289,"164460264"
"consumer-controlplane",1786470294,"94165912"
"consumer-controlplane",1786470299,"172125928"
"consumer-controlplane",1786470304,"102120528"
"consumer-controlplane",1786470309,"186183160"
"consumer-controlplane",1786470314,"119905272"
"consumer-controlplane",1786470319,"192371992"
"consumer-controlplane",1786470324,"130080264"
"consumer-controlplane",1786470329,"201186040"
"consumer-controlplane",1786470334,"123082024"
"consumer-controlplane",1786470339,"203922272"
"consumer-controlplane",1786470344,"133184232"
"consumer-controlplane",1786470349,"163983232"
"dsp-native-basyx",1786470034,"114526600"
"dsp-native-basyx",1786470039,"120843296"
"dsp-native-basyx",1786470044,"199140360"
"dsp-native-basyx",1786470049,"147428840"
"dsp-native-basyx",1786470054,"100724784"
"dsp-native-basyx",1786470059,"188654456"
"dsp-native-basyx",1786470064,"138005880"
"dsp-native-basyx",1786470069,"84064456"
"dsp-native-basyx",1786470074,"179766720"
"dsp-native-basyx",1786470079,"129107328"
"dsp-native-basyx",1786470084,"72714328"
"dsp-native-basyx",1786470089,"170738000"
"dsp-native-basyx",1786470094,"119307848"
"dsp-native-basyx",1786470099,"206344176"
"dsp-native-basyx",1786470104,"160599080"
"dsp-native-basyx",1786470109,"109290144"
"dsp-native-basyx",1786470114,"201321352"
"dsp-native-basyx",1786470119,"150546816"
"dsp-native-basyx",1786470124,"99680000"
"dsp-native-basyx",1786470129,"192179472"
"dsp-native-basyx",1786470134,"142308368"
"dsp-native-basyx",1786470139,"87369576"
"dsp-native-basyx",1786470144,"175851136"
"dsp-native-basyx",1786470149,"124653296"
"dsp-native-basyx",1786470154,"208813744"
"dsp-native-basyx",1786470159,"165867376"
"dsp-native-basyx",1786470164,"109133560"
"dsp-native-basyx",1786470169,"193832472"
"dsp-native-basyx",1786470174,"150945128"
"dsp-native-basyx",1786470179,"99045392"
"dsp-native-basyx",1786470184,"186575592"
"dsp-native-basyx",1786470189,"186575592"
"dsp-native-basyx",1786470194,"140708968"
"dsp-native-basyx",1786470199,"83944432"
"dsp-native-basyx",1786470204,"181505424"
"dsp-native-basyx",1786470209,"135012056"
"dsp-native-basyx",1786470214,"79596208"
"dsp-native-basyx",1786470219,"176825064"
"dsp-native-basyx",1786470224,"107996328"
"dsp-native-basyx",1786470229,"199546112"
"dsp-native-basyx",1786470234,"145175784"
"dsp-native-basyx",1786470239,"98153392"
"dsp-native-basyx",1786470244,"190169960"
"dsp-native-basyx",1786470249,"134757824"
"dsp-native-basyx",1786470254,"88335440"
"dsp-native-basyx",1786470259,"180565984"
"dsp-native-basyx",1786470264,"129850560"
"dsp-native-basyx",1786470269,"73468824"
"dsp-native-basyx",1786470274,"171047504"
"dsp-native-basyx",1786470279,"114894832"
"dsp-native-basyx",1786470284,"214653976"
"dsp-native-basyx",1786470289,"160861504"
"dsp-native-basyx",1786470294,"105068184"
"dsp-native-basyx",1786470299,"197167800"
"dsp-native-basyx",1786470304,"142544288"
"dsp-native-basyx",1786470309,"95467328"
"dsp-native-basyx",1786470314,"187533816"
"dsp-native-basyx",1786470319,"131356728"
"dsp-native-basyx",1786470324,"85399056"
"dsp-native-basyx",1786470329,"177582328"
"dsp-native-basyx",1786470334,"121583568"
"dsp-native-basyx",1786470339,"75330480"
"dsp-native-basyx",1786470344,"168124400"
"dsp-native-basyx",1786470349,"193501392"
